            Product Name,            Price,            Discount(%),No. of Sells,No. of Review,            Location,            Product Link,            Product ID,            SKU,,
Grey Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,à§³ 370,43% Off,12 sold,-1,Dhaka,//www.daraz.com.bd/products/-i392943376.html,392943376,392943376_BD-1959155620,,
Summer Printed Combo T-Shirt & Pant For Men,à§³ 335,48% Off,N/A,N/A,Dhaka,//www.daraz.com.bd/products/-i387656018.html,387656018,387656018_BD-1933118945,,
New Collection Super dejain Summer Combo T-Shirt & Full Pant,à§³ 477,65% Off,489 sold,-40,Dhaka,//www.daraz.com.bd/products/-i347679974.html,347679974,347679974_BD-2020513939,,
Premium Quality  Mesh Fabrics T-Shirt for men,à§³ 254,61% Off,4.6K sold,-765,Rajshahi,//www.daraz.com.bd/products/-i306087602.html,306087602,306087602_BD-1368463418,,
black colour combo set t shirt 3/4 pant for mans,à§³ 267,24% Off,1.1K sold,-55,Dhaka,//www.daraz.com.bd/products/34-i325299657.html,325299657,325299657_BD-1706004803,,
New Comfortable and Soft T-Shirt for Men - Just Do It - Ideal for All Seasons,à§³ 212,78% Off,7.4K sold,-844,Dhaka,//www.daraz.com.bd/products/new-comfortable-and-soft-t-shirt-for-men-just-do-it-ideal-for-all-seasons-i182257407.html,182257407,182257407_BD-1128514987,,
White Combo Set Half Sleeve White T-Shirt & Black Quarter Pant For Men - T Shirt & Pant For Boys,à§³ 370,43% Off,14 sold,-1,Dhaka,//www.daraz.com.bd/products/-i394312630.html,394312630,394312630_BD-1962479377,,
New jarsy kapor  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,à§³ 99,50% Off,5 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391044282.html,391044282,391044282_BD-1952497656,,
Cotton Casual T-Shirt for Men - Effortless Style with Comfortable Fabric,à§³ 117,61% Off,1.8K sold,-205,Dhaka,//www.daraz.com.bd/products/cotton-casual-t-shirt-for-men-effortless-style-with-comfortable-fabric-i111364071.html,111364071,111364071_BD-1028324036,,
Relex New Desing Stylish Casual T-Shirt for men,à§³ 99,53% Off,46 sold,-2,Dhaka,//www.daraz.com.bd/products/relex-i343864598.html,343864598,343864598_BD-1677134336,,
Black High Staylish Full Sleeve  T-Shirt For Men,à§³ 248,45% Off,2.8K sold,-123,Dhaka,//www.daraz.com.bd/products/-i324317267.html,324317267,324317267_BD-1720419210,,
Summer Printed Combo T-Shirt & Pant For Men,à§³ 330,49% Off,11 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i387642574.html,387642574,387642574_BD-1933112330,,
T-Shirt For Man| Half Sleeve T Shirt For Men,à§³ 99,52% Off,1.5K sold,-86,Dhaka,//www.daraz.com.bd/products/-i344002355.html,344002355,344002355_BD-1678243371,,
Half Sleeve Chinese Microfiber Printed T-Shirts for Women - Trendy and Comfortable Casual Wear,à§³ 99,60% Off,2.9K sold,-307,Dhaka,//www.daraz.com.bd/products/half-sleeve-chinese-microfiber-printed-t-shirts-for-women-trendy-and-comfortable-casual-wear-i321881190.html,321881190,321881190_BD-1499933574,,
"Anime Half-Sleeve T-shirt, Jersey Fabric, Itachi logo on Middle, Naruto",à§³ 75,71% Off,174 sold,-3,Dhaka,//www.daraz.com.bd/products/-i361427236.html,361427236,361427236_BD-1784771373,,
Ash  Joker  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,à§³ 95,57% Off,148 sold,-4,Dhaka,//www.daraz.com.bd/products/-i344499989.html,344499989,344499989_BD-1682678512,,
Multi Color T Shirt For Men - Comfortable,à§³ 90,55% Off,494 sold,-6,Dhaka,//www.daraz.com.bd/products/-i391780667.html,391780667,391780667_BD-1954935650,,
Bodro hobo Indispensable -Quality And Durablity -Bula jao Casual T-Shirt For Men - T Shirt For Man- Innovative Qualityful - Easy To care and Longive T Shirt,à§³ 90,70% Off,737 sold,-12,Dhaka,//www.daraz.com.bd/products/bodro-hobo-bula-jao-i390104095.html,390104095,390104095_BD-1947321519,,
Mens New Stylish Tshirt & Short Pent Combo,à§³ 398,34% Off,605 sold,-43,Dhaka,//www.daraz.com.bd/products/-i389255983.html,389255983,389255983_BD-1940255191,,
Kal Thike vordo hobo New Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,à§³ 99,50% Off,272 sold,-15,Dhaka,//www.daraz.com.bd/products/kal-thike-i391044280.html,391044280,391044280_BD-1952491769,,
Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men,à§³ 97,61% Off,2.0K sold,-81,Dhaka,//www.daraz.com.bd/products/-i334125624.html,334125624,334125624_BD-1625716529,,
Love T-shirt For Men and women Round neck Stylish,à§³ 90,70% Off,112 sold,-1,Dhaka,//www.daraz.com.bd/products/-i391789959.html,391789959,391789959_BD-1954999144,,
2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts,à§³ 90,64% Off,174 sold,-4,Dhaka,//www.daraz.com.bd/products/2024-i392382108.html,392382108,392382108_BD-1956906167,,
2 pis combo casual Printed T Shirt For Men,à§³ 199,43% Off,244 sold,-14,Dhaka,//www.daraz.com.bd/products/2-i391039668.html,391039668,391039668_BD-1952491718,,
